INFO 2024-11-21 13:55:30,407 autoreload Watching for file changes with StatReloader
DEBUG 2024-11-21 13:55:30,408 autoreload Waiting for apps ready_event.
DEBUG 2024-11-21 13:55:30,421 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-11-21 13:55:30,468 autoreload Watching dir D:\Project\DebtorTracker\debitor_tracker\templates with glob **/*.
DEBUG 2024-11-21 13:55:30,468 autoreload Watching dir D:\Project\DebtorTracker\.venv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2024-11-21 13:55:30,468 autoreload Watching dir D:\Project\DebtorTracker\debitor_tracker\locale with glob **/*.mo.
DEBUG 2024-11-21 13:55:30,469 autoreload Watching dir D:\Project\DebtorTracker\.venv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2024-11-21 13:55:30,469 autoreload Watching dir D:\Project\DebtorTracker\debitor_tracker\Task1\locale with glob **/*.mo.
DEBUG 2024-11-21 13:55:30,544 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\db\__init__.py first seen with mtime 1731756455.8205926
DEBUG 2024-11-21 13:55:30,544 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\multiprocessing\context.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,544 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\db\migrations\operations\special.py first seen with mtime 1731756455.8620274
DEBUG 2024-11-21 13:55:30,544 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\contrib\messages\api.py first seen with mtime 1731756455.2430317
DEBUG 2024-11-21 13:55:30,544 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\http\__init__.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,544 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\contrib\admin\templatetags\admin_urls.py first seen with mtime 1731756454.5510168
DEBUG 2024-11-21 13:55:30,544 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1731756455.7848976
DEBUG 2024-11-21 13:55:30,544 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\asyncio\queues.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,544 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\email\iterators.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,544 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\db\models\fields\json.py first seen with mtime 1731756455.871024
DEBUG 2024-11-21 13:55:30,544 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\contrib\staticfiles\checks.py first seen with mtime 1731756455.7566366
DEBUG 2024-11-21 13:55:30,544 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1731756455.9636998
DEBUG 2024-11-21 13:55:30,544 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\_distutils_hack\__init__.py first seen with mtime 1731752380.6233833
DEBUG 2024-11-21 13:55:30,544 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\asyncio\base_tasks.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,544 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\asyncio\proactor_events.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,544 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\contrib\messages\storage\base.py first seen with mtime 1731756455.2480154
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\urls\base.py first seen with mtime 1731756455.9495015
DEBUG 2024-11-21 13:55:30,545 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\email\mime\base.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1731756455.9667034
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\conf\locale\__init__.py first seen with mtime 1731756454.063
DEBUG 2024-11-21 13:55:30,545 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\sysconfig.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\rest_framework\settings.py first seen with mtime 1731953917.3449264
DEBUG 2024-11-21 13:55:30,545 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\urllib\request.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\db\models\constraints.py first seen with mtime 1731756455.8640244
DEBUG 2024-11-21 13:55:30,545 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\dis.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,545 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\pickle.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\utils\log.py first seen with mtime 1731756455.9646995
DEBUG 2024-11-21 13:55:30,545 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\re\_constants.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,545 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\wsgiref\util.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\utils\duration.py first seen with mtime 1731756455.9597082
DEBUG 2024-11-21 13:55:30,545 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\email\mime\text.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,545 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\email\mime\nonmultipart.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\rest_framework\utils\json.py first seen with mtime 1731953917.4938967
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\core\serializers\python.py first seen with mtime 1731756455.8175933
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\rest_framework\utils\model_meta.py first seen with mtime 1731953917.4948974
DEBUG 2024-11-21 13:55:30,545 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\selectors.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,545 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\core\checks\urls.py first seen with mtime 1731756455.781994
DEBUG 2024-11-21 13:55:30,546 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\copyreg.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,546 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1731756455.9747047
DEBUG 2024-11-21 13:55:30,546 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\db\backends\sqlite3\schema.py first seen with mtime 1731756455.8509507
DEBUG 2024-11-21 13:55:30,546 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\html\entities.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,546 autoreload File C:\Users\maxst\AppData\Local\Programs\Python\Python311\Lib\gzip.py first seen with mtime 1712050974.0
DEBUG 2024-11-21 13:55:30,546 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\views\decorators\csrf.py first seen with mtime 1731756455.9777055
DEBUG 2024-11-21 13:55:30,546 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\contrib\auth\__init__.py first seen with mtime 1731756454.662669
DEBUG 2024-11-21 13:55:30,546 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\core\checks\caches.py first seen with mtime 1731756455.7778032
DEBUG 2024-11-21 13:55:30,546 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1731756454.663669
DEBUG 2024-11-21 13:55:30,546 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\http\request.py first seen with mtime 1731756455.925828
DEBUG 2024-11-21 13:55:30,546 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1731756455.9268937
DEBUG 2024-11-21 13:55:30,546 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\rest_framework\exceptions.py first seen with mtime 1731953917.333258
DEBUG 2024-11-21 13:55:30,546 autoreload File D:\Project\DebtorTracker\.venv\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1731756455.9288902
